,reviewer name,reviewer href,n_frd,n_review
0,/user_details?userid=nO_5OkDDWYHe_GE6iYQa1w,Sandy L., 227 friends, 138 reviews
1,/user_details?userid=D633VZiKg3CkQk7IbH2-ZQ,Lana T., 250 friends, 214 reviews
2,/user_details?userid=ibvH1Y7Rh_tstiWgH0OFTA,Veronica S., 257 friends, 1245 reviews
3,/user_details?userid=KCUFGSlK6lX7ZSlwTbtVZQ,Aaron Y., 1054 friends, 400 reviews
4,/user_details?userid=aJwh6Mcw-q7Xio1CJxJmBg,Kate M., 401 friends, 161 reviews
5,/user_details?userid=Nza9TrumxVALFOc3zpPxDg,Tiffany U., 1526 friends, 482 reviews
6,/user_details?userid=eZNhFI6m07dvu1zfLfJc-g,Nancy N., 254 friends, 274 reviews
7,/user_details?userid=hJXL5mZtHm4gPPSSoMNXBg,Kelly L., 147 friends, 37 reviews
8,/user_details?userid=eKUGKQRE-Ywi5dY55_zChg,Cherylynn N., 4578 friends, 1627 reviews
9,/user_details?userid=3eTizQ3IU-PihPGJpx6BuA,Karen L., 185 friends, 192 reviews
10,/user_details?userid=G5LXEaxhQMF_BVjNHkVr7g,Nish N., 4191 friends, 1866 reviews
11,/user_details?userid=tze6RS2sX8jWhhCnhF8eTg,Riana L., 136 friends, 41 reviews
12,/user_details?userid=-oPzEHyieaDwAq70uwBO9A,Patricia Y., 108 friends, 28 reviews
13,/user_details?userid=-g3XIcCb2b-BD0QBCcq2Sw,Lisa I., 581 friends, 706 reviews
14,/user_details?userid=hxLhRB5-y57i95UZ1-nCKA,JT H., 53 friends, 9 reviews
15,/user_details?userid=sksKvmBmvTFWeb_vhB55NA,Kell M., 8 friends, 80 reviews
16,/user_details?userid=FXzOzl57UaX9ntfPAPLpRQ,Joanne L., 10 friends, 43 reviews
17,/user_details?userid=74VHvVXTnA04koYiaHFsrw,Alex F., 19 friends, 8 reviews
18,/user_details?userid=ZbSFeW-0eYsrroF5ENk_CA,Mattin N., 353 friends, 68 reviews
19,/user_details?userid=italI7wzLOR7ubuHxUyd-w,eric c., 0 friends, 108 reviews
20,/user_details?userid=Gej92zYbIl-SrHHhoZhUbQ,Morgan M., 44 friends, 27 reviews
21,/user_details?userid=NKXnr_WaRWhK0cv_f9499A,Jenny B., 252 friends, 96 reviews
22,/user_details?userid=8whvEyG29s9TPFKtPGcLcQ,Elizabeth K., 0 friends, 3 reviews
23,/user_details?userid=lUUsFmM8_QcM5m8oujzCAg,Jo R., 3 friends, 34 reviews
24,/user_details?userid=Z88N6qly3Dp5C06XbZ9IMQ,Janice C., 450 friends, 1878 reviews
25,/user_details?userid=cIcpSStytd12C2TImsQbTw,Jenna G., 41 friends, 21 reviews
26,/user_details?userid=ibvH1Y7Rh_tstiWgH0OFTA,Veronica S., 257 friends, 1245 reviews
27,/user_details?userid=O3slQM5zE77Ga6qrxfpKoQ,Faith Y., 297 friends, 302 reviews
28,/user_details?userid=0XHnik9Qpj68dYCp76fR3g,Victoria T., 72 friends, 66 reviews
29,/user_details?userid=AqwTAjoyG5HfhQi2-ab4cw,Alice W., 373 friends, 511 reviews
30,/user_details?userid=4ABOACN6e0SyOYN6oSsUZA,Hetal P., 330 friends, 140 reviews
31,/user_details?userid=F0AAhDFX1D0OmjHsaNk1-A,Linda X., 301 friends, 160 reviews
32,/user_details?userid=Sg_BvnTHsbc1AABiJjaiPA,Vivian H., 579 friends, 1224 reviews
33,/user_details?userid=djxnI8Ux8ZYQJhiOQkrRhA,Abby S., 3430 friends, 1687 reviews
34,/user_details?userid=s6UW_QHaKd4cOKPy-CrX8Q,Erik W., 51 friends, 7 reviews
35,/user_details?userid=ccfVsl7SZeK-2Ixc2-anuQ,Brianna S., 50 friends, 385 reviews
36,/user_details?userid=8kgQupO4TS2bpCGSPhTTIg,Michelle L., 739 friends, 626 reviews
37,/user_details?userid=gQXGf0Fg_z2kmefN4war_g,Judith S., 1 friend, 25 reviews
38,/user_details?userid=a4hxrQf8_30_9XecgDdoMw,Sydney M., 75 friends, 59 reviews
39,/user_details?userid=amvZISbskc3Bv4ka2LXi5g,Sean M., 2 friends, 15 reviews
40,/user_details?userid=e8nv_mIzcCOYFeRtX97-HQ,Mr M., 0 friends, 8 reviews
41,/user_details?userid=Rh7wSg9cwkcbCSemi41Y7A,Liz P., 101 friends, 30 reviews
42,/user_details?userid=zEDnewy111PMl5WNm8gHvA,Roberto Z., 5 friends, 3 reviews
43,/user_details?userid=xpyElLYq-hHTA0VVQXra8w,Tracy F., 21 friends, 23 reviews
44,/user_details?userid=4ovsbvpjE5adZ-mOn-HaHg,Sean G., 67 friends, 2 reviews
45,/user_details?userid=ZSonu6yWCeI_oTNXY-6XvA,Justinne P., 1 friend, 6 reviews
46,/user_details?userid=N6rbzS25YIN41zyxhM4UUg,Joseph S., 0 friends, 3 reviews
47,/user_details?userid=iWvxeXPYqhGN2ghW4HbI_A,Matt M., 67 friends, 9 reviews
48,/user_details?userid=RfyoCefKxakMF7gQU-Losw,Janet K., 7 friends, 11 reviews
49,/user_details?userid=5MJaET6hUkqP4J6omhpfdw,Lisa L., 5 friends, 11 reviews
50,/user_details?userid=76Y70W2mfSaI_XzU3gF8Xw,Tricia H., 1 friend, 6 reviews
51,/user_details?userid=P3hTfX_6KLcZAvSjBrgxtQ,Maylene M., 133 friends, 40 reviews
52,/user_details?userid=p3uMcpWTUDj8UAdxyXtUMw,Stella T., 71 friends, 33 reviews
53,/user_details?userid=ucRZP9eRODZU1UKHBPx88g,Yuko T., 0 friends, 7 reviews
54,/user_details?userid=ayy0wtIvJPt2FDOzvVSiBQ,Emile F., 54 friends, 17 reviews
55,/user_details?userid=2PLq0wT_d6h5SVQay3qBEg,RayBama C., 1 friend, 1 review
56,/user_details?userid=9LziaMD4AsG7kCCU8qzbTA,Nathan S., 14 friends, 3 reviews
57,/user_details?userid=aWid6FoDZ21nZSSo_fKV0A,Damon K., 0 friends, 5 reviews
58,/user_details?userid=oTmEwn9Rew8RLuZzgxde3A,Jamie C., 1 friend, 9 reviews
59,/user_details?userid=7SsAKrqEuO8crB-z2pj-IA,Victoria C., 34 friends, 267 reviews
60,/user_details?userid=l85iiu7AuBhbq_oqQe-6Zw,Danny G., 16 friends, 5 reviews
61,/user_details?userid=-cM9FQWp3-uu53Os983yCw,Sarah C., 285 friends, 232 reviews
62,/user_details?userid=wORrG1N4Dm3S_8M2TETNZQ,Linda X., 114 friends, 312 reviews
63,/user_details?userid=NqR8jT3PWDkTWBuZI-Vxyw,Gabriela W., 71 friends, 233 reviews
64,/user_details?userid=__05rytNjsye9MBhqB0DMA,Marck N., 111 friends, 847 reviews
65,/user_details?userid=eKUGKQRE-Ywi5dY55_zChg,Cherylynn N., 4578 friends, 1627 reviews
66,/user_details?userid=G5LXEaxhQMF_BVjNHkVr7g,Nish N., 4191 friends, 1866 reviews
67,/user_details?userid=yaBIVHDxaUBN2YHQ8-YiuQ,Meredith A., 213 friends, 1079 reviews
68,/user_details?userid=4DdswdErXZj_imHuCSeXdA,Lisa D., 94 friends, 44 reviews
69,/user_details?userid=mROok9JZx19AwvOJlI8FHQ,Art O., 70 friends, 785 reviews
70,/user_details?userid=MrSHPvHVdE_VzVN7iRz45Q,Jay P., 23 friends, 62 reviews
71,/user_details?userid=xqz5hlb8-gQ5YutF0JkOCA,Karina B., 20 friends, 7 reviews
72,/user_details?userid=WzgTJg1cWYsFMCZKLHd8-w,Lisa L., 88 friends, 309 reviews
73,/user_details?userid=Czzy1V36N7OuMGGetPiJdA,Heidi W., 4 friends, 5 reviews
74,/user_details?userid=daYV5IBz88PVLDifv32Epg,Joe S., 0 friends, 22 reviews
75,/user_details?userid=mUwwgXn1zFxjvyy2Y7C7qw,Kyle K., 114 friends, 56 reviews
76,/user_details?userid=xihU6n6Sj0BVwpgPL7x-fA,Thomas B., 0 friends, 13 reviews
77,/user_details?userid=TPFxyUqpnXEDbC0hkKxxUA,Krystal G., 11 friends, 42 reviews
78,/user_details?userid=x0_FCGRVjBrrkxYWTa__Zw,SteveTwentyThree S., 124 friends, 34 reviews
79,/user_details?userid=ngK-87MPabZrV3whsjQsow,Raquel H., 0 friends, 2 reviews
80,/user_details?userid=Dgayk9PYUv6XLJBAa_pS0g,Zachary S., 5 friends, 1 review
81,/user_details?userid=LiNuJYUiAddKX6th2ajk-w,Jim N., 5 friends, 5 reviews
82,/user_details?userid=pI15RINDqpXIk5492xx7PA,Rachel R., 134 friends, 226 reviews
83,/user_details?userid=hJXL5mZtHm4gPPSSoMNXBg,Kelly L., 147 friends, 37 reviews
84,/user_details?userid=DvcAC_nlKaTDsHcA8Slagw,Jon L., 180 friends, 683 reviews
85,/user_details?userid=__LHU2ohslRR7_9uu00rYg,Michelle C., 137 friends, 190 reviews
86,/user_details?userid=buxdmY56uZWnr-bmFh--AQ,Jennifer L., 66 friends, 11 reviews
87,/user_details?userid=QERcEpf3axTHKJkm7C7Iuw,Enrique S., 11 friends, 6 reviews
88,/user_details?userid=_aSs5dSAabuwnXUGBPzASw,Genevieve Y., 695 friends, 310 reviews
89,/user_details?userid=uIC3x44-BB2470bN9HI1Cg,Melanie W., 8 friends, 10 reviews
90,/user_details?userid=vtOYakkTqe84N284xLlVwQ,America R., 2 friends, 6 reviews
91,/user_details?userid=AGraTma9eEgsiJFDIy6tbg,Maile N., 246 friends, 1347 reviews
92,/user_details?userid=1eOf0y_ndQPaQVcE2v6tDA,Liz S., 138 friends, 181 reviews
93,/user_details?userid=UMNdw3msB06_wkmOIUliXA,Marc O., 9 friends, 8 reviews
94,/user_details?userid=l5S99Ftnk1M9n-obMF4qYQ,Jay H., 8 friends, 28 reviews
95,/user_details?userid=uQwIk2WW3w8kQOxmjQqh0Q,Jessica A., 91 friends, 10 reviews
96,/user_details?userid=iq2c3dUwdWb6ZQ-9lG69Zw,Sarah B., 4 friends, 26 reviews
97,/user_details?userid=aDNFbEkg-8ufDGS5C4Uxgw,N A., 1 friend, 176 reviews
98,/user_details?userid=jMeaVdXEXe76XgmiBVdeSQ,Sara J., 2 friends, 10 reviews
99,/user_details?userid=Gyed8Xaa60ePqJ2W2EwY2g,Pam G., 41 friends, 65 reviews
100,/user_details?userid=BGFdY5k0pReovDY7lNFl-A,Matt T., 135 friends, 56 reviews
101,/user_details?userid=WpCW366f95XBYzXxq0SmZQ,Amanda B., 263 friends, 344 reviews
102,/user_details?userid=lquc6IF6uGIeRomDLu9UnA,Ron W., 746 friends, 855 reviews
103,/user_details?userid=ZGmwGfbDDgnTFnZyOlRxVA,Ryan L., 1488 friends, 317 reviews
104,/user_details?userid=8yiOgeV5WHP_0B1kgV3SXw,Jennifer B., 28 friends, 6 reviews
105,/user_details?userid=RCKdmKDZRd-RovZVtNSCLA,Garett T., 148 friends, 472 reviews
106,/user_details?userid=2xb2kHnC-mFhtGggWBhZFQ,Krista L., 407 friends, 265 reviews
107,/user_details?userid=FQptE2yOehtbl-VooWdjfQ,Jordyn E., 18 friends, 10 reviews
108,/user_details?userid=TAZ2UvEzXXbieQMCWn8qhw,Luke S., 210 friends, 1032 reviews
109,/user_details?userid=jMDaQNZ7RTV5viRiyzbNhw,Angie G., 9 friends, 8 reviews
110,/user_details?userid=vGe22FBPeP-woeKnal4ieQ,Christine H., 45 friends, 239 reviews
111,/user_details?userid=HPqD_nATHVuVjTyt0Rxatg,Kate D., 189 friends, 118 reviews
112,/user_details?userid=ASLIke5kbn7Z95wT_otaUQ,Stephanie C., 307 friends, 340 reviews
113,/user_details?userid=KnEUkuWZos5MB6qqbwsvsw,Jessica G., 0 friends, 5 reviews
114,/user_details?userid=lh-HNVFR9t740O4cxkYLUA,Oscar J., 25 friends, 8 reviews
115,/user_details?userid=WRdXMEGqq1YzmjmwSJ-T-w,Chloe M., 238 friends, 420 reviews
116,/user_details?userid=G6Mc8Ku5sVJcxHlZTZ6fNQ,M A., 15 friends, 61 reviews
117,/user_details?userid=sia1oRH-Ps8f_1kiJp4__Q,Hannah P., 27 friends, 44 reviews
118,/user_details?userid=dusl6MaLSfYbE83_iVO2KQ,Dawn H., 775 friends, 683 reviews
119,/user_details?userid=_O6m-d23jGzOiK1XidFOHg,Chip N., 1 friend, 7 reviews
120,/user_details?userid=9dgHm68giKrA-MRK1adIjQ,John V., 0 friends, 19 reviews
121,/user_details?userid=hzbuT6sdXdLt4IkvGOOeZQ,Adam U., 12 friends, 83 reviews
122,/user_details?userid=RrfcgvnjsH58eOtfTbEJEA,Linda K., 90 friends, 259 reviews
123,/user_details?userid=DesSgHb_HtqfGnECVXsspw,Natalie L., 231 friends, 188 reviews
124,/user_details?userid=5gbkhlWANGVzQYi_0m3vOQ,Jess C., 1022 friends, 2011 reviews
125,/user_details?userid=rNPCGwPivRPsasy5HsKOAA,Amy Y., 734 friends, 331 reviews
126,/user_details?userid=z0EP8Ou0pc-wFbC90tzSAQ,Josh Giosue D., 203 friends, 156 reviews
127,/user_details?userid=8XS7N4kq4vbnpt1Ab3TAsg,Kacy G., 8 friends, 72 reviews
128,/user_details?userid=fUnIZ6Z_hy68xjvWipXA7Q,Eric V., 25 friends, 209 reviews
129,/user_details?userid=AV6n2IFxNHQ2lu7ZONOomw,Mark O., 75 friends, 620 reviews
130,/user_details?userid=OyetWwk8Gx46F36rirQ-Uw,Jenn L., 323 friends, 148 reviews
131,/user_details?userid=33OzyvMjDhGTUJubr4CWIA,Owie N., 438 friends, 1052 reviews
132,/user_details?userid=AkNdi7Azo3coq3lejuKAOg,Rachel P., 3 friends, 141 reviews
133,/user_details?userid=Svn9P6cfgsm5bq7K1iVfyw,Anna C., 410 friends, 199 reviews
134,/user_details?userid=8-oln8XwMc1NJO984zI75g,Jacki B., 81 friends, 88 reviews
135,/user_details?userid=Z88N6qly3Dp5C06XbZ9IMQ,Janice C., 450 friends, 1878 reviews
136,/user_details?userid=UAvHIpbXzQqJAXePDTJkZw,Deb G., 88 friends, 467 reviews
137,/user_details?userid=7rr_FVNiWp_2AhMNwZ5rnw,Derrick C., 110 friends, 53 reviews
138,/user_details?userid=H4mUrB60tebk-I5vHJ3Hng,Andrea D., 97 friends, 143 reviews
139,/user_details?userid=h52pEecm4zkcYynYMqTs9g,Terry H., 380 friends, 149 reviews
140,/user_details?userid=A89VAV5WG6zrYrYjMS4q8Q,Jill P., 104 friends, 26 reviews
141,/user_details?userid=fFKhHqwhENswtBQQGGhB9A,Rachel Y., 197 friends, 65 reviews
142,/user_details?userid=akFb5E4GJ2nR6-08W4My_A,Darcie I., 250 friends, 76 reviews
143,/user_details?userid=AsYMm_O4H-mwmWbmeACDHw,Christopher L., 188 friends, 136 reviews
144,/user_details?userid=hXSzBUjnORNXkaxwA1j-vg,Trinh T., 517 friends, 485 reviews
145,/user_details?userid=VTBARHtIoDj_vpKjG7zQDw,Michelle C., 257 friends, 123 reviews
146,/user_details?userid=tJsWLa6mDS5r86ATE_-WpA,Julia M., 68 friends, 14 reviews
147,/user_details?userid=aFBQko4yhl66_UgVfAlnRQ,Amy T., 181 friends, 108 reviews
148,/user_details?userid=APIGc3kZ34er5CoXVZYOJA,Heather N., 90 friends, 117 reviews
149,/user_details?userid=xT7RQksnkdGnDiu9EiPsWw,Michelle K., 470 friends, 672 reviews
150,/user_details?userid=n8jT8gC_l9m9xeALWnnimA,Tienanh C., 11 friends, 38 reviews
151,/user_details?userid=4KYNUsdA-tPe-iKKudb0uQ,Sandy B., 250 friends, 193 reviews
152,/user_details?userid=qgbRvkZ8tUiAtNAM34YBzg,Chheng L., 142 friends, 251 reviews
153,/user_details?userid=LlqQQhm0FFfbEoj66Sf1cQ,Jeff L., 30 friends, 197 reviews
154,/user_details?userid=UUqGHQFu2tQDGv5r3yJWPA,Ahmad A., 4991 friends, 179 reviews
155,/user_details?userid=46g1PTpxcRkT9KFsrXLFhg,Darien R., 267 friends, 499 reviews
156,/user_details?userid=jZqwsvfNPM68IV8UO8RVpg,Kathy L., 561 friends, 91 reviews
157,/user_details?userid=djuTJKL2AQBH68DuluZjVA,Christine K., 14 friends, 81 reviews
158,/user_details?userid=EG2l1aIF0TYdyqqv3BleTQ,Nick A., 25 friends, 127 reviews
159,/user_details?userid=2haufATfVAEjKruxqKQ4Tg,Stephen B., 0 friends, 3 reviews
160,/user_details?userid=BbBzub67X5sAHHTEtk2GAA,Emily C., 123 friends, 480 reviews
161,/user_details?userid=33h7LVT9XKNOVJgBGolH2Q,Shelley L., 65 friends, 42 reviews
162,/user_details?userid=q7IgbnTHCJF5MNAP4hU8yA,Kendra N., 34 friends, 169 reviews
163,/user_details?userid=bNrX9563lEilgEjkTahk6Q,Arda S., 76 friends, 125 reviews
164,/user_details?userid=IoAWPFOjYUY-16q1mp-i1A,Thomas T., 206 friends, 157 reviews
165,/user_details?userid=5gbkhlWANGVzQYi_0m3vOQ,Jess C., 1022 friends, 2011 reviews
166,/user_details?userid=1PHxzhP7lPUxK6vVl9ss8g,Mama T., 7 friends, 44 reviews
167,/user_details?userid=aX4Zs1tHhIe3xz-CLm8CSw,Vicky P., 13 friends, 88 reviews
168,/user_details?userid=T8J027sFoRJn7506ctdIrQ,Ashley T., 526 friends, 402 reviews
169,/user_details?userid=eKUGKQRE-Ywi5dY55_zChg,Cherylynn N., 4578 friends, 1627 reviews
170,/user_details?userid=M6bvgVUkyNBgrc7XKzRXqA,Nicole C., 220 friends, 100 reviews
171,/user_details?userid=vjwLL41-EOQQkLSonUMdGw,Johnny W., 803 friends, 1004 reviews
172,/user_details?userid=cy7Ind6z0jAEnuHzsPAEvg,Michelle N., 93 friends, 194 reviews
173,/user_details?userid=pFeoz4MPkwuU2K9RnIM6QA,Melissa D., 127 friends, 3 reviews
174,/user_details?userid=mUwwgXn1zFxjvyy2Y7C7qw,Kyle K., 114 friends, 56 reviews
175,/user_details?userid=PsD1anlq2EVGSnMk5gwE3g,Rebecca V., 27 friends, 71 reviews
176,/user_details?userid=4sk51VxthFOM69Z8pUFAKQ,Joseph M., 217 friends, 196 reviews
177,/user_details?userid=H_DAhIymP_8kpu1kw07Xtw,Christina L., 202 friends, 450 reviews
178,/user_details?userid=AV6n2IFxNHQ2lu7ZONOomw,Mark O., 75 friends, 620 reviews
179,/user_details?userid=7z-Crwkwo3wyngtjFhdJ9A,Kat C., 586 friends, 605 reviews
180,/user_details?userid=6Rz0FpkDt0bfAKGr1FFLvA,Kunal N., 150 friends, 194 reviews
181,/user_details?userid=bFrrYqsgbTm8vLUM_Azu6w,Jackie L., 167 friends, 97 reviews
182,/user_details?userid=rNPCGwPivRPsasy5HsKOAA,Amy Y., 734 friends, 331 reviews
183,/user_details?userid=p4FsOflitbyFKseYi1610Q,Jan P., 270 friends, 817 reviews
184,/user_details?userid=J9HamWsxKorlPGUAXy-M9Q,Ronald L., 241 friends, 322 reviews
185,/user_details?userid=s4O8baEyijx68SOrz668rg,Dave K., 471 friends, 236 reviews
186,/user_details?userid=62F28369AY13NOZxUA5tfA,Theo T., 746 friends, 276 reviews
187,/user_details?userid=fitXjNnwVB_HzqaBSrIGXQ,Victor W., 252 friends, 573 reviews
188,/user_details?userid=jsu8iKgjn-mrDuuJ1juXJQ,Rodney G., 196 friends, 67 reviews
189,/user_details?userid=-g3XIcCb2b-BD0QBCcq2Sw,Lisa I., 581 friends, 706 reviews
190,/user_details?userid=RhnHhfOH0jk2CbqPdBC43A,Sarah N., 78 friends, 104 reviews
191,/user_details?userid=J6n308FUoKLLkwxNUH6a6w,Jasmine H., 185 friends, 97 reviews
192,/user_details?userid=MwpKd-2qHPVyqQBfXvsV_Q,Bella J., 25 friends, 49 reviews
193,/user_details?userid=rk12aZmkYJGv-N6kFLey6Q,Zerrilyn P., 162 friends, 276 reviews
194,/user_details?userid=NqR8jT3PWDkTWBuZI-Vxyw,Gabriela W., 71 friends, 233 reviews
195,/user_details?userid=WfiilB5OXV7vSmHP-80n-A,Hannah C., 262 friends, 276 reviews
196,/user_details?userid=AMoHMDTVJ1YVamtBNKZVFA,Elizabeth T., 107 friends, 177 reviews
197,/user_details?userid=yKjSyMKBIDtovONtNs7QpQ,Merica S., 79 friends, 165 reviews
198,/user_details?userid=Z-_-m5d3j4ya2g14IszzTA,Seema U., 314 friends, 518 reviews
